zone_id,geometry,mode,TT_10
16,"LINESTRING (-111.93 33.42,-111.92500000000001 33.42,-111.92500000000001 33.415,-111.93 33.415,-111.93 33.42)",w,0
16,"LINESTRING (-111.93 33.42,-111.92500000000001 33.42,-111.92500000000001 33.415,-111.93 33.415,-111.93 33.42)",b,0
17,"LINESTRING (-111.935 33.43,-111.93 33.43,-111.93 33.425,-111.935 33.425,-111.935 33.43)",a,0
17,"LINESTRING (-111.935 33.43,-111.93 33.43,-111.93 33.425,-111.935 33.425,-111.935 33.43)",w,0
17,"LINESTRING (-111.935 33.43,-111.93 33.43,-111.93 33.425,-111.935 33.425,-111.935 33.43)",b,0
18,"LINESTRING (-111.935 33.435,-111.93 33.435,-111.93 33.43,-111.935 33.43,-111.935 33.435)",a,0
18,"LINESTRING (-111.935 33.435,-111.93 33.435,-111.93 33.43,-111.935 33.43,-111.935 33.435)",w,0
18,"LINESTRING (-111.935 33.435,-111.93 33.435,-111.93 33.43,-111.935 33.43,-111.935 33.435)",b,0
19,"LINESTRING (-111.94500000000001 33.435,-111.94000000000001 33.435,-111.94000000000001 33.43,-111.94500000000001 33.43,-111.94500000000001 33.435)",a,0
19,"LINESTRING (-111.94500000000001 33.435,-111.94000000000001 33.435,-111.94000000000001 33.43,-111.94500000000001 33.43,-111.94500000000001 33.435)",w,0
19,"LINESTRING (-111.94500000000001 33.435,-111.94000000000001 33.435,-111.94000000000001 33.43,-111.94500000000001 33.43,-111.94500000000001 33.435)",b,0
