o_zone_id,d_zone_id,accessibility,distance,geometry
3,,19,,N/A,N/A,"LINESTRING (-111.9414 33.426982100000004, -111.9413012 33.43225)"
4,,1,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.92689385000001 33.4318588)"
4,,2,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.9414 33.42342175)"
4,,3,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.9414 33.426982100000004)"
4,,5,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.92838065 33.42675425)"
4,,6,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.9268 33.421724)"
4,,7,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.93729125 33.413450000000005)"
4,,8,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.937816 33.42150770000001)"
4,,9,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.93261035 33.4184807)"
4,,10,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.93158275 33.413450000000005)"
4,,11,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.93757765 33.41757075)"
4,,12,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.9387148 33.43225)"
4,,13,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.93698955 33.426641950000004)"
4,,14,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.93277995000001 33.421400500000004)"
4,,15,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.92699160000001 33.413596500000004)"
4,,16,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.9268972 33.4180411)"
4,,17,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.93232855000001 33.4280852)"
4,,18,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.93374765 33.43225)"
4,,19,,N/A,N/A,"LINESTRING (-111.9413038 33.4182829, -111.9413012 33.43225)"
5,,1,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.92689385000001 33.4318588)"
5,,2,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.9414 33.42342175)"
