name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
West 10th Street,45,5608313,33,34,1,17.89,1,30,1000,residential,6,"LINESTRING (-111.9401076 33.4190658, -111.9401698 33.4190650, -111.9403000 33.4190633)",auto;bike;walk,1,0,,
West 10th Street,46,5608313,34,33,1,17.89,1,30,1000,residential,6,"LINESTRING (-111.9403000 33.4190633, -111.9401698 33.4190650, -111.9401076 33.4190658)",auto;bike;walk,1,0,,
East University Drive,47,5614812,35,36,1,9.11,2,56,1600,secondary,4,"LINESTRING (-111.9366610 33.4219091, -111.9365630 33.4219081)",auto;bike;walk,0,0,,
East University Drive,48,5614812,36,37,1,66.74,2,56,1600,secondary,4,"LINESTRING (-111.9365630 33.4219081, -111.9358451 33.4219117)",auto;bike;walk,0,0,,
East University Drive,49,5614812,37,38,1,17.79,2,56,1600,secondary,4,"LINESTRING (-111.9358451 33.4219117, -111.9356538 33.4219104)",auto;bike;walk,0,0,,
East University Drive,50,5614812,38,39,1,54.98,2,56,1600,secondary,4,"LINESTRING (-111.9356538 33.4219104, -111.9350625 33.4219162)",auto;bike;walk,0,0,,
East University Drive,51,5614812,39,40,1,8.69,2,56,1600,secondary,4,"LINESTRING (-111.9350625 33.4219162, -111.9349690 33.4219161)",auto;bike;walk,0,0,,
East 3rd Street,52,5615753,41,42,1,17.98,1,40,800,unclassified,15,"LINESTRING (-111.9395260 33.4273825, -111.9395770 33.4273848, -111.9397193 33.4273841)",auto;bike;walk,1,0,,
East 3rd Street,53,5615753,42,41,1,17.98,1,40,800,unclassified,15,"LINESTRING (-111.9397193 33.4273841, -111.9395770 33.4273848, -111.9395260 33.4273825)",auto;bike;walk,1,0,,
East 3rd Street,54,5615753,42,43,1,12.81,1,40,800,unclassified,15,"LINESTRING (-111.9397193 33.4273841, -111.9398571 33.4273837)",auto;bike;walk,1,0,,
East 3rd Street,55,5615753,43,42,1,12.81,1,40,800,unclassified,15,"LINESTRING (-111.9398571 33.4273837, -111.9397193 33.4273841)",auto;bike;walk,1,0,,
East 3rd Street,56,5615753,43,44,1,10.24,1,40,800,unclassified,15,"LINESTRING (-111.9398571 33.4273837, -111.9399672 33.4273845)",auto;bike;walk,1,0,,
